,index,Feature name,Coefficients,p_values,Original feature name,Score - Calculation,Score - Preliminary,Difference,Score - Final
70,70,dti:10.5-16.1,0.23746205069412024,4.1103073070242554e-05,dti,18.29891003499715,18.0,-0.2989100349971494,18.0
71,71,dti:16.1-20.3,0.13662867238473955,0.018462256322188283,dti,10.528654060138436,11.0,0.47134593986156403,11.0
72,72,dti:20.3-21.7,0.12581567783520475,0.03818857063725922,dti,9.695400856552963,10.0,0.304599143447037,10.0
73,73,dti:21.7-22.4,0.08782665710628276,0.1750563859547386,dti,6.767953415565299,7.0,0.23204658443470105,7.0
74,74,dti:22.4-35,0.04715398376916265,0.4106311846680226,dti,3.633702750655931,4.0,0.3662972493440688,4.0
75,75,mths_since_last_delinq:Missing,0.11241375280108387,0.031273144105511956,mths_since_last_delinq,8.662643749561354,9.0,0.3373562504386456,9.0
76,76,mths_since_last_delinq:4-30,0.13964511386207065,0.008092580485700674,mths_since_last_delinq,10.761102112609004,11.0,0.23889788739099593,11.0
77,77,mths_since_last_delinq:31-56,0.18536246499962714,0.0005191936823742565,mths_since_last_delinq,14.28409744200643,14.0,-0.2840974420064306,16.0
78,78,mths_since_last_delinq:>=57,0.13808441158993603,0.011563507095433093,mths_since_last_delinq,10.640833840749453,11.0,0.35916615925054707,11.0
79,79,mths_since_last_record:Missing,0.3210666395678852,7.675858413651944e-05,mths_since_last_record,24.74150937178385,25.0,0.2584906282161512,25.0
80,80,mths_since_last_record:3-20,0.4438627064467959,0.000302677830951944,mths_since_last_record,34.204217934690725,34.0,-0.2042179346907247,34.0
81,81,mths_since_last_record:21-31,0.35181714127363917,0.0017599845373574316,mths_since_last_record,27.11115396383466,27.0,-0.11115396383465992,27.0
82,82,mths_since_last_record:32-80,0.5063765328026831,2.9772905007814726e-09,mths_since_last_record,39.021555614905324,39.0,-0.021555614905324205,39.0
83,83,mths_since_last_record:81-86,0.17409573965215988,0.08880834308326323,mths_since_last_record,13.415879581848658,13.0,-0.4158795818486585,13.0
84,84,mths_since_last_record:>86,0.23138181661562124,0.0059212938281133325,mths_since_last_record,17.830365035621664,18.0,0.1696349643783357,18.0
85,0,grade:G,0.0,,grade,0.0,0.0,0.0,0.0
86,1,home_ownership:RENT_OTHER_NONE_ANY,0.0,,home_ownership,0.0,0.0,0.0,0.0
87,2,addr_state:ND_NE_IA_NV_FL_HI_AL,0.0,,addr_state,0.0,0.0,0.0,0.0
88,3,verification_status:Verified,0.0,,verification_status,0.0,0.0,0.0,0.0
89,4,purpose:educ__sm_b__wedd__ren_en__mov__house,0.0,,purpose,0.0,0.0,0.0,0.0
90,5,initial_list_status:f,0.0,,initial_list_status,0.0,0.0,0.0,0.0
91,6,term:60,0.0,,term,0.0,0.0,0.0,0.0
92,7,emp_length:0,0.0,,emp_length,0.0,0.0,0.0,0.0
93,8,mths_since_issue_d:>84,0.0,,mths_since_issue_d,0.0,0.0,0.0,0.0
94,9,int_rate:>20.281,0.0,,int_rate,0.0,0.0,0.0,0.0
95,10,mths_since_earliest_cr_line:<140,0.0,,mths_since_earliest_cr_line,0.0,0.0,0.0,0.0
96,11,inq_last_6mths:>6,0.0,,inq_last_6mths,0.0,0.0,0.0,0.0
97,12,acc_now_delinq:0,0.0,,acc_now_delinq,0.0,0.0,0.0,0.0
98,13,annual_inc:<20K,0.0,,annual_inc,0.0,0.0,0.0,0.0
99,14,dti:>35,0.0,,dti,0.0,0.0,0.0,0.0
100,15,mths_since_last_delinq:0-3,0.0,,mths_since_last_delinq,0.0,0.0,0.0,0.0
101,16,mths_since_last_record:0-2,0.0,,mths_since_last_record,0.0,0.0,0.0,0.0
